question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_diff,avg_diff,selected_diff,final_diff,selected_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,final_gain_vs_single,route,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action
Q3,E12314089,9.0,6.0,6.0,6.0,6.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314093,8.0,5.0,5.0,5.0,5.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change
Q3,E12314097,7.0,4.0,4.0,4.0,4.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.83,0.8,0.0,0.8,0.533333,0.466667,keep_minor_change
Q3,E12314105,9.0,6.0,6.0,6.0,6.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314117,7.0,4.0,4.0,4.0,4.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314121,8.0,4.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314125,7.0,2.0,2.0,2.0,2.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,POS,True,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,
Q3,E12314129,5.0,2.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,POS,True,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,
Q3,E12314133,7.0,4.0,4.0,4.0,4.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314137,9.0,6.0,6.0,6.0,6.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314141,8.0,7.0,6.8,6.8,7.4,-1.0,-1.2,-1.2,-0.6,1.2,0.6,-0.2,0.0,0.6,0.6,0.4,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2828,0.0,0.0,0.3,0.0,0.1,0.9,small_raise
Q3,E12314145,7.0,2.0,2.0,2.0,2.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,POS,True,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,
Q3,E12314149,8.0,8.0,8.0,8.0,6.5,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,0.0,-1.5,-1.5,-1.5,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,auto_small_lower
Q3,E12314153,8.0,3.0,3.0,3.0,3.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314157,7.0,4.0,4.0,4.0,4.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314161,4.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.6,0.0,0.6,0.4,0.6,keep_minor_change
Q3,E12314165,9.0,6.0,6.0,6.0,6.7,-3.0,-3.0,-3.0,-2.3,3.0,2.3,0.0,0.0,0.7,0.7,0.7,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.17,0.1,0.0,0.1,0.066667,0.933333,auto_small_raise
Q3,E12314169,10.0,8.0,8.0,8.0,8.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314173,8.0,4.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314177,7.0,4.0,4.0,4.0,4.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314181,6.0,2.0,2.0,2.0,2.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.6,0.0,0.6,0.4,0.6,keep_minor_change
Q3,E12314185,9.0,6.0,5.6,6.0,6.7,-3.0,-3.4,-3.0,-2.3,3.0,2.3,-0.4,0.4,0.7,1.1,0.7,BND,True,True,False,calculation_derivation,True,True,upper_consensus_undercredit,guarded_max_of_three,0.2828,0.33,0.2,0.3,0.2,0.233333,0.766667,auto_small_raise
Q3,E12314189,10.0,8.0,8.0,8.0,8.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314193,8.0,3.4,3.8,3.8,3.8,-4.6,-4.2,-4.2,-4.2,4.2,4.2,0.4,0.0,0.0,0.0,0.4,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2828,0.0,0.0,0.3,0.0,0.1,0.9,reject_raise
Q3,E12314201,9.0,6.0,6.0,6.0,6.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q3,E12314205,8.0,8.0,7.5,7.5,6.0,0.0,-0.5,-0.5,-2.0,0.5,2.0,-0.5,0.0,-1.5,-1.5,-2.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,1.0801,0.0,0.0,1.0,0.0,0.333333,0.666667,large_lower
Q3,E12314209,8.0,5.0,4.3,4.3,4.3,-3.0,-3.7,-3.7,-3.7,3.7,3.7,-0.7,0.0,0.0,0.0,-0.7,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.0,0.0,0.5,0.0,0.166667,0.833333,keep_minor_change
Q3,E12314213,6.0,1.4,1.4,1.4,1.4,-4.6,-4.6,-4.6,-4.6,4.6,4.6,0.0,0.0,0.0,0.0,0.0,POS,True,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,
Q3,E12314217,10.0,8.0,8.0,8.0,8.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.17,0.1,0.0,0.1,0.066667,0.933333,keep_minor_change
Q3,E12314221,7.0,2.0,1.3,1.3,1.3,-5.0,-5.7,-5.7,-5.7,5.7,5.7,-0.7,0.0,0.0,0.0,-0.7,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.9428,0.33,0.2,1.0,0.2,0.466667,0.533333,keep_minor_change
Q3,WA2324049,10.0,8.0,8.0,8.0,8.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.2,0.0,0.2,0.133333,0.866667,keep_minor_change
Q4,E01914115,6.0,10.0,11.0,12.0,13.4,4.0,5.0,6.0,7.4,6.0,7.4,-1.0,-1.0,-1.4,-2.4,-3.4,BND,True,True,False,calculation_derivation,True,True,upper_consensus_undercredit,guarded_max_of_three,0.8165,0.0,,,,,,auto_small_raise
Q4,E12214062,12.0,20.0,20.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,POS,True,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,,,,,,
Q4,E12214075,17.0,13.0,15.0,15.0,16.4,-4.0,-2.0,-2.0,-0.6,2.0,0.6,2.0,0.0,1.4,1.4,3.4,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,1.633,0.0,,,,,,auto_small_raise
Q4,E12214107,15.0,15.0,14.7,14.7,13.3,0.0,-0.3,-0.3,-1.7,0.3,1.7,-0.3,0.0,-1.4,-1.4,-1.7,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.0,,,,,,small_lower
Q4,E12214171,15.0,18.0,17.3,17.3,17.3,3.0,2.3,2.3,2.3,2.3,2.3,0.7,0.0,0.0,0.0,0.7,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.9428,0.0,,,,,,keep_minor_change
Q4,E12314005,13.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q4,E12314013,6.0,11.5,10.8,11.5,12.5,5.5,4.8,5.5,6.5,5.5,6.5,0.7,-0.7,-1.0,-1.7,-1.0,BND,True,True,False,calculation_derivation,True,True,upper_consensus_strict,guarded_max_of_three,0.6236,0.07,,,,,,small_raise
Q4,E12314021,17.0,15.5,15.7,15.7,15.7,-1.5,-1.3,-1.3,-1.3,1.3,1.3,0.2,0.0,0.0,0.0,0.2,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2357,0.13,,,,,,keep_minor_change
Q4,E12314025,20.0,18.0,17.8,17.8,17.8,-2.0,-2.2,-2.2,-2.2,2.2,2.2,-0.2,0.0,0.0,0.0,-0.2,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2357,0.13,,,,,,keep_minor_change
Q4,E12314029,20.0,17.0,16.3,16.3,16.3,-3.0,-3.7,-3.7,-3.7,3.7,3.7,-0.7,0.0,0.0,0.0,-0.7,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.0,,,,,,keep_minor_change
Q4,E12314033,20.0,17.0,17.0,17.0,17.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4082,0.13,,,,,,keep_minor_change
Q4,E12314041,8.0,9.0,11.0,12.0,13.4,1.0,3.0,4.0,5.4,4.0,5.4,-2.0,-1.0,-1.4,-2.4,-4.4,BND,True,True,False,calculation_derivation,True,True,upper_consensus_strict,guarded_max_of_three,1.4142,0.0,,,,,,auto_small_raise
Q4,E12314049,15.0,14.0,16.0,16.0,16.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,1.4142,0.27,,,,,,reject_raise
Q4,E12314053,20.0,15.0,17.2,17.2,18.0,-5.0,-2.8,-2.8,-2.0,2.8,2.0,2.2,0.0,0.8,0.8,3.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,1.8409,0.0,,,,,,auto_small_raise
Q4,E12314057,14.0,13.0,14.5,14.5,15.9,-1.0,0.5,0.5,1.9,0.5,1.9,0.5,0.0,-1.4,-1.4,-0.9,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,1.472,0.0,,,,,,auto_small_raise
Q4,E12314061,17.0,19.0,19.7,19.7,19.7,2.0,2.7,2.7,2.7,2.7,2.7,-0.7,0.0,0.0,0.0,-0.7,POS,True,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.0,,,,,,
Q4,E12314081,17.0,17.0,16.5,16.5,16.5,0.0,-0.5,-0.5,-0.5,0.5,0.5,-0.5,0.0,0.0,0.0,-0.5,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.7071,0.0,,,,,,keep_minor_change
Q4,E12314085,11.0,15.0,15.0,15.0,15.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.07,,,,,,keep_minor_change
Q4,E12314093,12.0,13.0,13.3,15.0,16.0,1.0,1.3,3.0,4.0,3.0,4.0,-0.3,-1.7,-1.0,-2.7,-3.0,BND,True,True,False,calculation_derivation,True,True,upper_consensus_strict,guarded_max_of_three,1.2472,0.0,,,,,,small_raise
Q4,E12314125,14.0,13.0,13.0,13.0,13.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q4,E12314133,14.0,14.0,13.7,15.0,16.4,0.0,-0.3,1.0,2.4,1.0,2.4,-0.3,-0.7,-1.4,-2.1,-2.4,BND,False,False,False,calculation_derivation,True,True,upper_consensus_strict,guarded_max_of_three,1.2472,0.0,,,,,,small_raise
Q4,E12314165,8.0,13.0,15.7,15.7,15.7,5.0,7.7,7.7,7.7,7.7,7.7,-2.7,0.0,0.0,0.0,-2.7,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,1.8856,0.0,,,,,,reject_raise
Q4,E12314169,14.0,11.0,9.8,11.0,11.0,-3.0,-4.2,-3.0,-3.0,3.0,3.0,-1.2,1.2,0.0,1.2,0.0,BND,True,True,False,calculation_derivation,True,True,upper_consensus_strict,guarded_max_of_three,1.0274,0.0,,,,,,reject_lower
Q4,E12314173,9.0,13.0,13.7,15.0,13.0,4.0,4.7,6.0,4.0,6.0,4.0,-0.7,-1.3,2.0,0.7,0.0,BND,True,True,False,calculation_derivation,True,True,upper_consensus_strict,guarded_max_of_three,0.9428,0.0,,,,,,small_lower
Q4,E12314177,12.0,13.0,13.3,14.0,14.0,1.0,1.3,2.0,2.0,2.0,2.0,-0.3,-0.7,0.0,-0.7,-1.0,BND,False,False,False,calculation_derivation,True,True,upper_consensus_strict,guarded_max_of_three,0.4714,0.07,,,,,,reject_lower
Q4,E12314185,15.0,17.0,16.5,16.5,16.5,2.0,1.5,1.5,1.5,1.5,1.5,0.5,0.0,0.0,0.0,0.5,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4082,0.0,,,,,,keep_minor_change
Q4,E12314189,16.0,16.0,17.3,17.3,17.3,0.0,1.3,1.3,1.3,1.3,1.3,-1.3,0.0,0.0,0.0,-1.3,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.9428,0.0,,,,,,reject_lower
Q4,E12314201,12.0,8.5,8.8,8.8,8.8,-3.5,-3.2,-3.2,-3.2,3.2,3.2,0.3,0.0,0.0,0.0,0.3,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,1.6499,0.27,,,,,,reject_lower
Q4,E12314217,19.0,15.0,15.2,15.2,15.2,-4.0,-3.8,-3.8,-3.8,3.8,3.8,0.2,0.0,0.0,0.0,0.2,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2357,0.13,,,,,,keep_minor_change
Q4,WA2324049,20.0,19.0,17.7,17.7,17.7,-1.0,-2.3,-2.3,-2.3,2.3,2.3,-1.3,0.0,0.0,0.0,-1.3,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,1.2472,0.0,,,,,,reject_lower
